"gene","uniprot","name","description","namespace"
"ARF6","P62330","ARF6","ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF2","Q92974","ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARL8A","Q96BM9","ARL8A","ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARL8B","Q9NVJ2","ARL8B","ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARPP19","P56211","ARPP19","cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASPM","Q8IZT6","ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AURKA","O14965","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AURKB","Q96GD4","AURKB","aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AURKC","Q9UQB9","AURKC","aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AVPI1","Q5T686","AVPI1","arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AZI2","Q9H6S1","AZI2","5-azacytidine induced 2 [Source:HGNC Symbol;Acc:HGNC:24002]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BABAM1","Q9NWV8","BABAM1","BRISC and BRCA1 A complex member 1 [Source:HGNC Symbol;Acc:HGNC:25008]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BABAM2","Q9NXR7","BABAM2","BRISC and BRCA1 A complex member 2 [Source:HGNC Symbol;Acc:HGNC:1106]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BANP","Q8N9N5","BANP","BTG3 associated nuclear protein [Source:HGNC Symbol;Acc:HGNC:13450]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAP1","Q92560","BAP1","BRCA1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCAR1","P56945","BCAR1","BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BECN1","Q14457","BECN1","beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BEX2","Q9BXY8","BEX2","brain expressed X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30933]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BIRC5","O15392","BIRC5","baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BIRC6","Q9NR09","BIRC6","baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BLCAP","P62952","BLCAP","BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BMI1","P35226","BMI1","BMI1 proto-oncogene, polycomb ring finger [Source:HGNC Symbol;Acc:HGNC:1066]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BOD1","Q96IK1","BOD1","biorientation of chromosomes in cell division 1 [Source:HGNC Symbol;Acc:HGNC:25114]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BOD1L2","Q8IYS8","BOD1L2","biorientation of chromosomes in cell division 1 like 2 [Source:HGNC Symbol;Acc:HGNC:28505]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BOLL","Q8N9W6","BOLL","boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BORA","Q6PGQ7","BORA","BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCC3","P46736","BRCC3","BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRD7","Q9NPI1","BRD7","bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRINP1","O60477","BRINP1","BMP/retinoic acid inducible neural specific 1 [Source:HGNC Symbol;Acc:HGNC:2687]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRINP2","Q9C0B6","BRINP2","BMP/retinoic acid inducible neural specific 2 [Source:HGNC Symbol;Acc:HGNC:13746]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRINP3","Q76B58","BRINP3","BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRIP1","Q9BX63","BRIP1","BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRSK2","Q8IWQ3","BRSK2","BR serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1","O43683","BUB1","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1B","O60566","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB3","O43684","BUB3","BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CABLES1","Q8TDN4","CABLES1","Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CABLES2","Q9BTV7","CABLES2","Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:HGNC:16143]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAMK1","Q14012","CAMK1","calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP8AP2","None","None","None",""
"CCAR1","Q8IX12","CCAR1","cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCAR2","Q8N163","CCAR2","cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC124","Q96CT7","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNA1","P78396","CCNA1","cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CCNA2","P20248","CCNA2","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB1","P14635","CCNB1","cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB2","O95067","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNB3","Q8WWL7","CCNB3","cyclin B3 [Source:HGNC Symbol;Acc:HGNC:18709]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCND1","P24385","CCND1","cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCND2","P30279","CCND2","cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCND3","P30281","CCND3","cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNDBP1","O95273","CCNDBP1","cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNE1","P24864","CCNE1","cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNE2","O96020","CCNE2","cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNF","P41002","CCNF","cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNG1","P51959","CCNG1","cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNG2","Q16589","CCNG2","cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNH","P51946","CCNH","cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNK","O75909","CCNK","cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNO","P22674","CCNO","cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNT1","O60563","CCNT1","cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNT2","O60583","CCNT2","cyclin T2 [Source:HGNC Symbol;Acc:HGNC:1600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCNY","Q8ND76","CCNY","cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCPG1","Q9ULG6","CCPG1","cell cycle progression 1 [Source:HGNC Symbol;Acc:HGNC:24227]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCSAP","Q6IQ19","CCSAP","centriole, cilia and spindle associated protein [Source:HGNC Symbol;Acc:HGNC:29578]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD2AP","Q9Y5K6","CD2AP","CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC123","O75794","CDC123","cell division cycle 123 [Source:HGNC Symbol;Acc:HGNC:16827]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC14A","Q9UNH5","CDC14A","cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC16","Q13042","CDC16","cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC20","Q12834","CDC20","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC23","Q9UJX2","CDC23","cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC25A","P30304","CDC25A","cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC25B","P30305","CDC25B","cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC25C","P30307","CDC25C","cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC26","Q8NHZ8","CDC26","cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC27","P30260","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC5L","Q99459","CDC5L","cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC6","Q99741","CDC6","cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC7","O00311","CDC7","cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC73","Q6P1J9","CDC73","cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA2","Q69YH5","CDCA2","cell division cycle associated 2 [Source:HGNC Symbol;Acc:HGNC:14623]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA3","Q99618","CDCA3","cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA5","Q96FF9","CDCA5","cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDCA8","Q53HL2","CDCA8","cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK1","P06493","CDK1","cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK11A","Q9UQ88","CDK11A","cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK11B","P21127","CDK11B","cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK14","O94921","CDK14","cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK2","P24941","CDK2","cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK20","Q8IZL9","CDK20","cyclin dependent kinase 20 [Source:HGNC Symbol;Acc:HGNC:21420]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK2AP1","O14519","CDK2AP1","cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK3","Q00526","CDK3","cyclin dependent kinase 3 [Source:HGNC Symbol;Acc:HGNC:1772]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK4","P11802","CDK4","cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK5","Q00535","CDK5","cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK6","Q00534","CDK6","cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK7","P50613","CDK7","cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN1C","P49918","CDKN1C","cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN2A","P42771","CDKN2A","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN2A","Q8N726","CDKN2A","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN2B","P42772","CDKN2B","cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN2C","P42773","CDKN2C","cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN2D","P55273","CDKN2D","cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDT1","Q9H211","CDT1","chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPC","Q03188","CENPC","centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPE","Q02224","CENPE","centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPF","P49454","CENPF","centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPJ","Q9HC77","CENPJ","centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPS","Q8N2Z9","CENPS","centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPT","Q96BT3","CENPT","centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPV","Q7Z7K6","CENPV","centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPW","Q5EE01","CENPW","centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CENPX","A8MT69","CENPX","centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP131","Q9UPN4","CEP131","centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP164","Q9UPV0","CEP164","centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP250","Q9BV73","CEP250","centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEP63","Q96MT8","CEP63","centrosomal protein 63 [Source:HGNC Symbol;Acc:HGNC:25815]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CETN1","Q12798","CETN1","centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
