"gene","uniprot","name","description","namespace"
"ACOX1","Q15067","ACOX1","acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPV17L","Q2QL34","MPV17L","MPV17 mitochondrial inner membrane protein like [Source:HGNC Symbol;Acc:HGNC:26827]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGAT4A","Q9UM21","MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAAT","Q14032","BAAT","bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM135","Q86UB9","TMEM135","transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GDAP1","Q8TB36","GDAP1","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FNDC5","Q8NAU1","FNDC5","fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20240]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIPOX","Q9P0Z9","PIPOX","pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX1","O43933","PEX1","peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX6","Q13608","PEX6","peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX7","O00628","PEX7","peroxisomal biogenesis factor 7 [Source:HGNC Symbol;Acc:HGNC:8860]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX10","O60683","PEX10","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX12","O00623","PEX12","peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DAO","P14920","DAO","D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX13","Q92968","PEX13","peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX14","O75381","PEX14","peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMGCL","P35914","HMGCL","3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMGCR","P04035","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDI2","Q9BXS1","IDI2","isopentenyl-diphosphate delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:23487]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOT4","Q8N9L9","ACOT4","acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HAO1","Q9UJM8","HAO1","hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STING1","Q86WV6","STING1","stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX11B","O96011","PEX11B","peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX11A","O75192","PEX11A","peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TYSND1","Q2T9J0","TYSND1","trypsin like peroxisomal matrix peptidase 1 [Source:HGNC Symbol;Acc:HGNC:28531]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTC1","Q99614","TTC1","tetratricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12391]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTGR3","Q8N4Q0","PTGR3","prostaglandin reductase 3 [Source:HGNC Symbol;Acc:HGNC:28697]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFF","Q9GZY8","MFF","mitochondrial fission factor [Source:HGNC Symbol;Acc:HGNC:24858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOX2","Q99424","ACOX2","acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOX3","O15254","ACOX3","acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FABP1","P07148","FABP1","fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSL1","P33121","ACSL1","acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSL3","O95573","ACSL3","acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSL4","O60488","ACSL4","acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAOX","Q6QHF9","PAOX","polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUDT12","Q9BQG2","NUDT12","nudix hydrolase 12 [Source:HGNC Symbol;Acc:HGNC:18826]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHYH","O14832","PHYH","phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHRS4","Q9BTZ2","DHRS4","dehydrogenase/reductase 4 [Source:HGNC Symbol;Acc:HGNC:16985]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAD11","Q709F0","ACAD11","acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGST1","P10620","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAVS","Q7Z434","MAVS","mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRHPR","Q9UBQ7","GRHPR","glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIK3C3","Q8NEB9","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGXT","P21549","AGXT","alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX19","P40855","PEX19","peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD3","P28288","ABCD3","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD4","O14678","ABCD4","ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX16","Q9Y5Y5","PEX16","peroxisomal biogenesis factor 16 [Source:HGNC Symbol;Acc:HGNC:8857]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PXMP2","Q9NR77","PXMP2","peroxisomal membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:9716]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX2","P28328","PEX2","peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX5","P50542","PEX5","peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCP2","P22307","SCP2","sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTARC2","Q969Z3","MTARC2","mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:HGNC:26064]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOT2","P49753","ACOT2","acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD1","P33897","ABCD1","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ECI2","O75521","ECI2","enoyl-CoA delta isomerase 2 [Source:HGNC Symbol;Acc:HGNC:14601]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAR1","Q8WVX9","FAR1","fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSD17B4","P51659","HSD17B4","hydroxysteroid 17-beta dehydrogenase 4 [Source:HGNC Symbol;Acc:HGNC:5213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRDX5","P30044","PRDX5","peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD2","Q9UBJ2","ABCD2","ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDH3A2","P51648","ALDH3A2","aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MUL1","Q969V5","MUL1","mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOS2","P35228","NOS2","nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A17","O43808","SLC25A17","solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC27A2","O14975","SLC27A2","solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNPAT","O15228","GNPAT","glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC33","Q8N5R6","CCDC33","coiled-coil domain containing 33 [Source:HGNC Symbol;Acc:HGNC:26552]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUDT19","A8MXV4","NUDT19","nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPV17","P39210","MPV17","mitochondrial inner membrane protein MPV17 [Source:HGNC Symbol;Acc:HGNC:7224]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VIM","P08670","VIM","vimentin [Source:HGNC Symbol;Acc:HGNC:12692]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERHL2","Q9H4I8","SERHL2","serine hydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:29446]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSL6","Q9UKU0","ACSL6","acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP30","Q70CQ3","USP30","ubiquitin specific peptidase 30 [Source:HGNC Symbol;Acc:HGNC:20065]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOT8","O14734","ACOT8","acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUDT7","P0C024","NUDT7","nudix hydrolase 7 [Source:HGNC Symbol;Acc:HGNC:8054]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX11G","Q96HA9","PEX11G","peroxisomal biogenesis factor 11 gamma [Source:HGNC Symbol;Acc:HGNC:20208]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SZT2","Q5T011","SZT2","SZT2 subunit of KICSTOR complex [Source:HGNC Symbol;Acc:HGNC:29040]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSDL2","Q6YN16","HSDL2","hydroxysteroid dehydrogenase like 2 [Source:HGNC Symbol;Acc:HGNC:18572]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LONP2","Q86WA8","LONP2","lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHRS4L2","Q6PKH6","DHRS4L2","dehydrogenase/reductase 4 like 2 [Source:HGNC Symbol;Acc:HGNC:19731]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX3","P56589","PEX3","peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEPP1","Q9NTK1","DEPP1","DEPP autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:23355]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACBD5","Q5T8D3","ACBD5","acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ISOC1","Q96CN7","ISOC1","isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XDH","P47989","XDH","xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNM1L","O00429","DNM1L","dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAT","P04040","CAT","catalase [Source:HGNC Symbol;Acc:HGNC:1516]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FIS1","Q9Y3D6","FIS1","fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DDO","Q99489","DDO","D-aspartate oxidase [Source:HGNC Symbol;Acc:HGNC:2727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDE","P14735","IDE","insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDH1","O75874","IDH1","isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDH2","P48735","IDH2","isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGPS","O00116","AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACOT6","Q3I5F7","ACOT6","acyl-CoA thioesterase 6 [Source:HGNC Symbol;Acc:HGNC:33159]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IDI1","Q13907","IDI1","isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ECH1","Q13011","ECH1","enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUDT17","P0C025","NUDT17","nudix hydrolase 17 [Source:HGNC Symbol;Acc:HGNC:26618]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX5L","Q8IYB4","PEX5L","peroxisomal biogenesis factor 5 like [Source:HGNC Symbol;Acc:HGNC:30024]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRAT","P43155","CRAT","carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SYT7","O43581","SYT7","synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEX26","Q7Z412","PEX26","peroxisomal biogenesis factor 26 [Source:HGNC Symbol;Acc:HGNC:22965]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLYCD","O95822","MLYCD","malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHRS7B","Q6IAN0","DHRS7B","dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLAAT3","P53816","PLAAT3","phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRYM","Q14894","CRYM","crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CROT","Q9UKG9","CROT","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PMVK","Q15126","PMVK","phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAR2","Q96K12","FAR2","fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATAD1","Q8NBU5","ATAD1","ATPase family AAA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25903]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSTK1","Q9Y2Q3","GSTK1","glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EHHADH","Q08426","EHHADH","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LACC1","Q8IV20","LACC1","laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TKT","P29401","TKT","transketolase [Source:HGNC Symbol;Acc:HGNC:11834]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD33","P20138","CD33","CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PJVK","Q0ZLH3","PJVK","pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MARF1","Q9Y4F3","MARF1","meiosis regulator and mRNA stability factor 1 [Source:HGNC Symbol;Acc:HGNC:29562]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PXT1","Q8NFP0","PXT1","peroxisomal testis enriched protein 1 [Source:HGNC Symbol;Acc:HGNC:18312]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HACL1","Q9UJ83","HACL1","2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCNIP4","Q6PIL6","KCNIP4","potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DECR2","Q9NUI1","DECR2","2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PNPLA8","Q9NP80","PNPLA8","patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATM","Q13315","ATM","ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM35A","Q53FP2","TMEM35A","transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"URAD","A6NGE7","URAD","ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase [Source:HGNC Symbol;Acc:HGNC:17785]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP2K2","P36507","MAP2K2","mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HAO2","Q9NYQ3","HAO2","hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NBR1","Q14596","NBR1","NBR1 autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM37","O94972","TRIM37","tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MVK","Q03426","MVK","mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
